category,foodCode,foodName,englishName,edible,water,energyKCal,energyKJ,protein,fat,CHO,dietaryFiber,cholesterol,ash,vitaminA,carotene,retinol,thiamin,riboflavin,niacin,vitaminC,vitaminETotal,vitaminE1,vitaminE2,vitaminE3,Ca,P,K,Na,Mg,Fe,Zn,Se,Cu,Mn,remark
乳类及其制品-酸奶,103003,酸奶（脱脂）,"Yogurt, skimmed",100,85.5,57,241,3.3,0.4,10.0,—,18,0.8,Tr,—,—,0.02,0.10,0.10,1.0,—,—,—,—,146,91,156,27.7,10,0.1,0.51,1.46,0.01,0.02,
乳类及其制品-酸奶,103004,酸奶（低脂）,"Yogurt, low-skimmed",100,85.8,64,269,2.7,1.9,9.0,—,12,0.6,32,—,32,0.02,0.13,0.10,1.0,0.13,0.13,—,—,81,59,130,13.0,10,—,0.68,0.74,0.01,0.01,上海
乳类及其制品-酸奶,103005,酸奶（果料）,"*Fruit* yogurt, whole milk, with fruits",100,84.4,67,281,3.1,1.4,10.4,—,15,0.7,19,—,19,0.03,0.19,0.10,2.0,0.69,—,—,—,140,90,111,32.5,11,0.4,0.56,0.98,0.04,0.03,
乳类及其制品-酸奶,103006,酸奶（橘味，脱脂）,"*Orange flavor* yogurt, skimmed",100,87.6,48,205,3.2,0.3,8.2,—,15,0.7,1,—,1,0.02,0.21,0.10,5.0,0.03,0.03,—,—,89,73,128,2.6,11,0.2,0.27,0.73,0.01,0.01,上海
乳类及其制品-酸奶,103007,酸奶（调味）,,100,81.2,88,372,3.0,3.2,11.9,—,—,0.7,—,—,—,0.03,0.14,0.06,Tr,—,—,—,—,160,168,272,69.6,12,1.6,0.63,1.42,0.01,0.03,上海
乳类及其制品-酸奶,103008,酸奶（果粒）,,100,78.5,98,412,3.3,2.9,14.6,—,—,0.7,—,—,—,0.03,0.18,0.08,1.0,—,—,—,—,61,103,241,53.8,8,0.1,0.39,1.19,0.01,0.02,上海
乳类及其制品-酸奶,103009,酸奶（全脂，多美鲜全脂果粒，草莓果粒/覆盆子果粒、桃果粒/西番莲汁/菠萝果粒）,,100,75.2,111,469,1.6,2.8,19.9,—,—,0.5,30,—,30,Tr,Tr,—,Tr,0.00,Tr,Tr,Tr,94,84,107,37.8,7,1.0,Tr,—,Tr,Tr,德国
乳类及其制品-酸奶,103010,酸奶（全脂，盖瑞牌，全脂风味发酵乳）,,100,79.1,93,393,3.1,2.5,14.6,—,9,0.7,37,—,37,0.03,0.10,—,—,0.12,0.12,—,—,126,35,109,26.9,12,0.1,0.35,—,0.03,0.01,新疆
乳类及其制品-酸奶,103011,酸奶（全脂，花园牌）,,100,83.6,77,323,1.6,2.8,11.3,—,2,0.7,14,—,14,0.02,0.09,—,—,0.00,Tr,—,—,114,52,149,26.1,11,0.1,0.31,—,0.26,0.00,新疆
乳类及其制品-酸奶,103012,酸奶（全脂，佳丽牌，益家全脂风味发酵乳）,,100,79.4,95,399,2.9,3.1,13.8,—,7,0.8,32,—,32,0.03,0.10,—,—,0.12,0.12,—,—,128,58,162,34.5,12,0.1,0.31,—,0.03,0.00,新疆
乳类及其制品-酸奶,103013,酸奶（全脂，天润牌浓缩酸奶，全脂风味发酵乳）,,100,79.2,95,398,3.0,2.9,14.1,—,9,0.8,27,—,27,0.03,0.12,—,—,0.14,0.14,—,—,183,47,139,30.5,7,0.0,0.31,—,0.01,0.02,新疆
乳类及其制品-酸奶,103014,酸奶（全脂，西域春牌新疆老酸奶，凝固型）,,100,78.5,96,406,3.1,2.6,15.1,—,1,0.7,6,—,6,0.03,0.06,—,—,0.00,Tr,—,—,100,56,90,27.8,12,0.1,0.32,—,0.02,0.01,新疆
乳类及其制品-酸奶,103015,酸奶（低脂，艾美牌，草莓、芒果、蓝莓、覆盆子、菠萝味低脂风味发酵乳）,,100,78.5,96,403,1.6,2.4,16.9,—,—,0.6,18,—,18,0.01,0.15,—,Tr,0.00,Tr,Tr,Tr,122,112,154,35.8,10,1.0,0.35,—,Tr,Tr,瑞士
其他类-其他,219014,蜂蛹［蜂胚、蜂仔］,,100,80.8,100,419,10.6,5.4,2.3,0.0,19,0.9,—,—,—,0.28,0.24,2.60,—,—,—,—,—,1,165,249,12.0,20,2.0,2.36,4.00,0.39,0.12,
其他类-其他,219015,蜂蛹（油蜂，干）,,100,7.7,669,2765,20.0,61.4,9.0,0.0,236,1.9,—,—,—,0.07,0.31,4.80,Tr,2.37,—,—,—,38,281,331,299.3,35,9.3,5.09,17.65,1.89,5.08,
其他类-其他,219016,蜂蛹（大黄蜂）,,100,76.7,109,459,12.1,3.8,6.6,0.0,—,0.8,—,—,—,0.11,0.37,2.80,20.0,—,—,—,—,27,157,256,15.8,22,3.8,2.21,6.10,0.08,3.61,
其他类-其他,219022,牛蛙,,30,79.4,81,343,15.7,0.5,3.4,—,19,1.0,—,—,—,0.13,0.01,5.40,Tr,—,—,—,—,15,162,329,34.5,22,0.6,0.98,Tr,0.02,Tr,
其他类-其他,219028,鸡内金,,100,8.7,359,1525,83.1,1.3,3.8,—,—,3.1,—,—,—,0.03,0.14,0.73,—,—,—,—,—,141,250,51,112.9,18,64.3,1.90,19.30,3.65,0.74,
其他类-其他,219029,乌梢蛇,,100,15.1,219,928,49.4,2.0,0.9,—,—,32.6,—,—,—,0.02,1.35,6.60,—,—,—,—,—,7345,3864,494,385.0,2637,15.2,11.50,—,0.29,1.36,
其他类-其他,219030,团螵蛸,,100,5.9,365,1544,70.2,6.6,6.2,—,—,11.1,—,—,—,0.10,2.22,—,—,—,—,—,—,617,380,594,143.3,135,272.0,6.94,—,3.55,8.57,
其他类-其他,219031,阿胶,,100,11.0,383,1619,73.0,5.8,9.5,—,—,0.7,—,—,—,0.00,0.09,—,—,—,—,—,—,59,33,5,222.5,13,4.7,1.58,—,0.94,0.26,
其他类-其他,219032,珍珠,,100,0.5,18,78,2.0,0.1,2.4,—,—,95.0,—,—,—,—,0.01,—,—,—,—,—,—,39,Tr,1,285.9,3,33.4,1.20,—,0.42,94.38,
其他类-其他,219033,牛黄,,100,4.5,353,1501,48.0,0.9,38.4,—,—,8.2,—,—,—,Tr,0.67,—,—,—,—,—,—,2406,64,75,869.0,20,8.0,120.00,—,13.90,111.16,
其他类-其他,219034,马鹿胎（粉）,,100,6.8,342,1440,36.8,10.8,24.4,—,—,21.2,—,—,—,Tr,0.25,—,—,—,—,—,—,8787,3800,373,542.7,195,27.7,7.50,—,0.23,0.55,
其他类-其他,219035,蛤蚧,,65,7.5,382,1611,70.8,11.0,0.0,—,—,14.6,—,—,—,0.03,4.04,—,—,—,—,—,—,4497,2290,855,369.8,134,12.9,7.90,—,0.25,0.29,
其他类-其他,219036,燕窝,,100,15.2,320,1360,57.9,0.2,21.7,—,—,5.0,—,—,—,Tr,Tr,—,—,—,—,—,—,681,5,16,1041.1,123,1.3,0.54,—,0.52,0.06,
其他类-其他,219037,蜂胶液,,100,1.6,—,—,0.2,—,—,—,—,0.2,—,—,—,Tr,0.03,—,—,—,—,—,—,49,26,40,6.9,5,5.5,0.61,—,—,—,
其他类-其他,219038,蛤蟆油,,100,39.0,241,1022,31.4,1.9,24.6,—,—,3.1,—,—,—,0.09,0.65,—,—,—,—,—,—,86,300,717,251.6,135,3.7,1.50,—,0.68,2.20,
其他类-其他,219039,龟甲,,100,5.9,134,567,26.4,2.0,2.6,—,—,63.1,—,—,—,0.07,0.08,—,—,—,—,—,—,2778,10000,19,457.5,311,20.1,10.00,—,0.40,1.80,
其他类-其他,219040,刺猬皮,,100,5.8,357,1508,69.2,8.6,0.8,—,—,15.6,—,—,—,Tr,0.12,—,—,—,—,—,—,967,240,404,285.9,1680,92.9,8.30,—,1.25,2.56,
其他类-其他,219041,蜂王浆,,100,67.3,—,—,14.6,—,—,—,—,1.1,—,—,—,0.08,0.27,—,—,—,—,—,—,9,230,282,15.6,35,1.3,2.40,—,0.49,0.07,
其他类-其他,219042,裙边（干）,,100,14.8,337,1433,81.6,1.2,0.0,—,—,2.9,—,—,—,Tr,0.08,—,—,—,—,—,—,154,178,84,317.5,42,33.6,1.78,—,0.09,0.77,
其他类-其他,219043,鱼肚（干）,,100,31.6,312,1324,75.6,1.0,0.0,—,—,0.4,—,—,—,Tr,0.00,—,—,—,—,—,—,34,25,1,11.7,3,7.0,1.22,—,0.26,0.19,
其他类-其他,219044,鱼唇（干）,,100,15.0,347,1451,83.1,1.6,0.0,—,—,2.9,—,—,—,Tr,0.00,—,—,—,—,—,—,282,280,60,177.9,43,10.3,4.53,—,0.10,0.30,
动物油脂类-动物油脂,191001,牛油（板油）,Beef tallow,100,6.2,835,3435,Tr,92.0,1.8,0.0,153,—,54,—,54,—,—,—,—,—,—,—,—,9,9,3,9.4,1,3.0,0.79,,0.01,Tr,北京
动物油脂类-动物油脂,191002,牛油（炼）,Beef tallow，rendered,100,0.2,898,3691,Tr,99.7,0.1,0.0,135,Tr,89,—,89,Tr,0.03,0.20,—,4.60,—,—,—,—,—,—,—,—,—,—,—,—,—,
动物油脂类-动物油脂,191003,鸭油（炼）,Duck fat，rendered,100,0.3,897,3689,Tr,99.7,0.0,0.0,83,—,71,—,71,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,北京
动物油脂类-动物油脂,191004,羊油（板油）,Sheep fat，unrendered，leaf fat,100,4.0,824,3392,Tr,88.0,8.0,0.0,110,—,33,—,33,—,—,—,—,1.08,1.08,Tr,Tr,Tr,18,12,13.2,1,1.0,Tr,,0.06,Tr,北京
动物油脂类-动物油脂,191005,羊油（炼）,Sheep fat，rendered,100,0.1,895,3678,Tr,99.0,0.9,0.0,107,—,,—,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,甘肃
动物油脂类-动物油脂,191006,猪油（板油）,Lard（leaf lard），unrendered,100,4.0,827,3404,Tr,88.7,7.2,0.0,110,0.1,89,—,89,—,—,—,—,21.83,0.63,15.00,6.20,Tr,10,14,138.5,1,2.1,0.80,,0.05,0.63,
动物油脂类-动物油脂,191007,猪油（炼）,Lard，rendered,100,0.2,897,3689,Tr,99.6,0.2,0.0,93,Tr,27,—,27,0.02,0.03,Tr,—,5.21,5.21,Tr,Tr,—,—,—,—,—,—,—,—,—,—,
坚果种子类-树坚果,071001,白果（干）［银杏］,"Ginkgo nut, in shell, dried",67,9.9,355,1485,13.2,1.3,72.6,—,0,3.0,—,—,0,—,0.10,Tr,Tr,24.70,—,—,—,54,23,17,17.5,Tr,0.2,0.69,14.50,0.45,2.03,河北
坚果种子类-树坚果,071002,菠萝蜜,Jackfruit seed,97,57.0,164,688,4.9,0.3,36.7,2.3,0,1.1,—,—,0,0.31,0.16,0.90,16.0,0.12,—,—,—,18,68,400,11.5,27,1.6,0.54,10.47,0.27,0.30,广东
坚果种子类-树坚果,071003,核桃（鲜）,"Walnut, in shell",43,49.8,336,1406,12.8,29.9,6.1,4.3,0,1.4,—,—,0,0.07,0.14,1.40,10.0,41.17,—,—,—,—,—,—,—,—,—,—,—,—,—,甘肃
坚果种子类-树坚果,071004,核桃（干）［胡桃］,"Walnut, in shell, dried",43,5.2,646,2704,14.9,58.8,19.1,9.5,0,2.0,3,30,0,0.15,0.14,0.90,1.0,43.21,0.82,39.44,2.95,56,294,385,6.4,131,2.7,2.17,4.62,1.17,3.44,
坚果种子类-树坚果,071005,毛核桃,"*Mockernut* hikory, wild",38,57.6,184,771,12.0,6.7,21.7,5.4,0,2.0,—,—,0,0.09,0.10,1.50,40.0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,甘肃
坚果种子类-树坚果,071006,山核桃（干）,"Wild walnut or hickory nut, in shell, dried",24,2.2,616,2576,18.0,50.4,26.2,7.4,0,3.2,3,30,0,0.16,0.09,0.50,—,65.55,2.14,61.24,2.17,57,521,237,250.7,306,6.8,6.42,0.87,2.14,8.16,
坚果种子类-树坚果,071008,栗子（鲜）［板栗］,"Chestnut, in shell",80,52.0,188,789,4.2,0.7,42.2,1.7,0,0.9,16,190,0,0.14,0.17,0.80,24.0,4.56,Tr,4.44,0.12,17,89,442,13.9,50,1.1,0.57,1.13,0.40,1.53,
坚果种子类-树坚果,071009,栗子（干）［板栗］,"Chestnut, in shell, dried",73,13.4,348,1455,5.3,1.7,78.4,1.2,0,1.2,3,30,0,0.08,0.15,0.80,25.0,11.45,—,—,—,—,—,—,8.5,56,1.2,1.32,—,1.34,1.14,河北
坚果种子类-树坚果,071010,栗子（熟）［板栗］,"Chestnut, in shell",78,46.6,214,897,4.8,1.5,46.0,1.2,0,1.1,20,240,0,0.19,0.13,1.20,36.0,—,—,—,—,15,91,—,—,—,1.7,—,—,—,—,北京
坚果种子类-树坚果,071011,松子（生）,"Pine-nut, in shell",32,3.0,665,2782,12.6,62.6,19.0,12.4,0,2.8,3,40,0,0.41,0.09,3.80,—,34.48,19.60,14.34,0.54,3,620,184,—,567,5.9,9.02,0.63,2.68,10.35,哈尔滨
坚果种子类-树坚果,071012,松子（炒）,"Pine-nut, in shell, roasted",31,3.6,644,2693,14.1,58.5,21.4,12.4,0,2.4,3,30,0,—,0.11,3.80,Tr,25.20,14.30,10.34,0.56,161,227,612,3.0,186,5.2,5.49,0.62,1.21,7.40,北京
坚果种子类-树坚果,071013,松子仁,"Pine-nut, kernel",100,0.8,718,3003,13.4,70.6,12.2,10.0,0,3.0,1,10,0,0.19,0.25,4.00,—,32.79,17.68,14.76,0.35,78,569,502,10.1,116,4.3,4.61,0.74,0.95,6.01,北京
坚果种子类-树坚果,071014,杏仁,Almond kernel,100,5.6,578,2419,22.5,45.4,23.9,8.0,0,2.6,—,—,0,0.08,0.56,—,26.0,18.53,—,—,—,97,27,106,8.3,178,2.2,4.30,15.65,0.80,0.77,
坚果种子类-树坚果,071015,杏仁（大杏仁）,"Almond kernel, large",100,6.2,540,2259,19.9,42.9,27.8,18.5,0,3.2,—,—,0,0.02,1.82,—,26.0,—,—,—,—,49,4,169,—,—,1.2,4.06,27.06,0.67,0.72,河北
坚果种子类-树坚果,071016,杏仁（炒）,"Almond kernel, in shell, roasted",91,2.1,618,2587,25.7,51.0,18.7,9.1,0,2.5,8,100,0,0.15,0.71,2.50,—,—,—,—,—,141,202,—,—,—,3.9,—,—,—,—,北京
坚果种子类-树坚果,071017,杏仁（原味）,Almond,100,5.3,596,2493,21.3,50.6,19.7,11.8,0,3.1,—,—,0,0.24,0.81,3.90,—,—,—,—,—,248,474,728,1.0,275,4.3,3.36,4.40,1.11,2.54,USA
坚果种子类-树坚果,071018,杏仁（漂白后）,"Almond, bleached",100,4.5,602,2518,21.9,50.6,19.9,10.4,0,3.0,—,—,0,0.20,0.56,3.70,—,—,—,—,—,216,480,687,28.0,275,3.7,3.12,4.40,1.17,2.24,USA
坚果种子类-树坚果,071019,杏仁（过油炸干）,"Almond, fried, whole",100,2.8,631,2642,21.2,55.2,17.7,10.5,0,3.1,—,—,0,0.09,0.78,3.70,—,—,—,—,—,291,466,699,1.0,274,3.7,3.07,4.40,0.96,2.46,USA
坚果种子类-树坚果,071020,杏仁（烤干，不加盐）,"Almond, roasted, without salt",100,2.6,617,2582,22.1,52.8,19.3,11.8,0,3.2,—,—,0,0.07,0.86,3.90,—,—,—,—,—,266,489,746,1.0,286,4.5,3.54,4.40,1.17,2.62,USA
坚果种子类-树坚果,071021,杏仁（烤干，加盐）,"Almond, roasted and salted, whole",100,2.6,617,2582,22.1,52.8,19.3,11.8,0,3.2,—,—,0,0.07,0.86,3.90,—,—,—,—,—,266,489,746,339.0,286,4.5,3.54,4.40,1.17,2.62,USA
坚果种子类-树坚果,071022,橡实［橡子，青冈子］,Blue Japanese oak,70,42.3,233,977,4.0,2.0,50.5,1.3,0,1.2,—,—,0,0.03,,—,7.0,—,—,—,—,112,64,—,—,—,5.8,—,—,—,—,贵州
坚果种子类-树坚果,071024,榛子（干）,"Hazelnut, in shell, dried",27,7.4,561,2348,20.0,44.8,24.3,9.6,0,3.5,4,50,0,0.62,0.14,2.50,Tr,36.43,29.22,6.83,0.38,104,422,1244,4.7,420,6.4,5.83,0.78,3.03,14.94,哈尔滨
坚果种子类-树坚果,071025,榛子（炒）,"Hazelnut, in shell , roasted",21,2.3,611,2555,30.5,50.3,13.1,8.2,0,3.8,9,70,0,0.21,0.22,9.80,—,25.20,14.30,10.34,0.56,815,423,686,153.0,502,5.1,3.75,2.40,2.00,18.47,北京
坚果种子类-树坚果,071026,山核桃（熟）［小核桃］,"Wild walnut or hickory nut, in shell, salted and roasted",45,2.8,658,2708,8.3,64.5,21.3,—,0,3.1,11,137,0,0.11,0.07,0.80,—,14.75,0.92,11.87,1.56,132,279,4,855.5,130,6.0,7.07,1.15,1.33,11.39,浙江
坚果种子类-树坚果,071027,栗子［板栗］,"Chestnut, in shell, raw, from Miyun, Beijing",80,53.3,186,789,4.4,1.6,39.6,2.0,0,1.1,3,40,0,—,—,—,23.2,3.94,—,—,—,16,72,—,—,—,0.4,5.60,1.20,—,—,北京密云
坚果种子类-树坚果,071028,栗子［板栗］,"Chestnut, in shell, raw, from Henan",80,51.2,192,811,4.4,1.4,41.9,3.1,0,1.1,4,48,0,—,—,—,24.2,3.06,—,—,—,19,95,—,—,—,0.2,8.00,1.40,—,—,河南
坚果种子类-树坚果,071029,栗子［板栗］,"Chestnut, in shell, raw, from Shandong",80,57.3,168,712,4.4,1.0,36.3,1.9,0,1.0,5,56,0,—,—,—,18.9,3.49,—,—,—,19,90,—,—,—,0.4,—,1.80,—,—,山东
坚果种子类-树坚果,071030,栗子［板栗］,"Chestnut, in shell, raw, from Qianxi, Hebei",80,53.6,182,771,3.8,0.9,40.7,2.1,0,1.0,4,44,0,—,—,—,26.1,4.82,—,—,—,17,84,—,—,—,0.6,7.13,—,—,—,河北迁西
坚果种子类-树坚果,071031,栗子［板栗］,"Chestnut, in shell, raw, from Xingtai, Hebei",80,53.6,183,776,4.3,1.1,39.9,1.8,0,1.1,4,44,0,—,—,—,15.4,3.14,—,—,—,19,73,—,—,—,0.6,5.60,0.95,—,—,河北邢台
坚果种子类-树坚果,071032,栗子仁（熟）,"Chestnut, roasted, shell removed",100,47.3,194,817,4.5,1.5,45.7,—,0,1.0,—,—,0,0.08,0.12,1.10,—,9.28,Tr,9.28,Tr,9,105,468,8.7,52,1.1,0.76,Tr,0.45,2.01,河北
坚果种子类-树坚果,071033,松子（熟）,"Pine nut, in shell, salted and roasted",69,3.4,553,2295,12.9,40.4,40.3,—,0,3.0,—,—,0,0.14,0.17,1.40,—,28.25,14.75,12.86,0.64,14,453,1007,666.0,272,3.9,4.32,0.59,1.01,1.36,广东
坚果种子类-树坚果,071034,杏仁（熟，带壳）,"Almond, in shell, salted and roasted",63,1.7,648,2676,25.1,58.4,11.0,—,0,3.8,—,—,0,0.06,0.66,2.60,—,35.54,32.42,2.45,0.67,240,565,668,195.8,218,2.7,2.21,3.33,1.00,1.93,广东
坚果种子类-树坚果,071035,杏仁（熟，去壳）,"Almond, shell removed, salted and roasted, large",100,3.1,625,2585,28.0,54.4,11.1,—,0,3.4,—,—,0,0.09,0.52,2.80,—,27.17,24.75,2.42,Tr,174,341,693,342.2,277,5.3,3.72,1.72,1.43,2.45,广东
坚果种子类-树坚果,071036,腰果（熟）,"Cashew nut, salted and roasted",100,2.1,615,2544,24.0,50.9,20.4,10.4,0,2.6,4,49,0,0.24,0.13,1.30,—,6.70,Tr,6.00,0.70,19,639,680,35.7,595,7.4,5.30,10.93,2.57,1.19,
坚果种子类-树坚果,071037,榛子（熟）,"Hazelnut, in shell, roasted",66,2.2,642,2652,12.5,57.3,25.6,12.9,0,2.4,—,—,0,0.17,0.11,1.00,—,22.81,19.76,3.05,Tr,95,369,1001,9.4,172,3.8,2.25,2.02,1.13,1.96,广东
坚果种子类-树坚果,071038,榛子仁（熟）,"Hazelnut, without shell, salted and roasted",100,2.2,628,2597,15.6,52.9,26.7,—,0,2.6,—,—,0,0.19,0.12,1.20,—,22.18,19.31,2.38,0.49,86,336,807,153.0,168,4.2,2.22,1.12,1.39,2.90,广东
坚果种子类-树坚果,071039,开心果（熟）,"Pistachio, in shell, salted and roasted",82,0.8,631,2610,20.6,53.0,21.9,8.2,0,3.7,—,—,0,0.45,0.10,1.10,—,19.36,1.05,17.55,0.76,108,468,735,756.4,118,4.4,3.11,6.50,0.83,1.69,甘肃
坚果种子类-树坚果,071040,香榧（熟）,"Chinese torreya, in shell, salted and roasted",61,1.1,644,2660,12.4,57.0,26.9,—,0,2.6,—,—,0,0.04,0.10,—,—,114.16,10.34,96.02,7.80,83,248,664,215.6,291,1.8,1.94,1.50,0.38,0.74,浙江
坚果种子类-种子,072001,胡麻子,False sesame seeds,98,6.9,450,1884,19.1,30.7,39.5,30.2,0,3.8,—,—,0,0.29,0.28,1.00,—,12.93,—,—,—,228,577,408,48.8,389,19.7,4.84,—,1.60,2.63,甘肃
坚果种子类-种子,072002,花生（鲜）［落花生，长生果］,Peanut，in shell，fresh,53,48.3,313,1310,12.0,25.4,13.0,7.7,0,1.3,1,10,0,—,0.04,14.10,14.0,2.93,1.69,1.24,Tr,8,250,390,3.7,110,3.4,1.79,4.50,0.68,0.65,北京
坚果种子类-种子,072003,花生（炒）,Peanut，in shell，roasted,71,4.1,601,2516,21.7,48.0,23.8,6.3,0,2.4,5,60,0,0.13,0.12,18.90,Tr,12.94,9.92,2.38,0.64,47,326,563,34.8,171,1.5,2.03,3.90,0.68,1.44,
坚果种子类-种子,072004,花生仁（生）,Peanut kernel，raw,100,6.9,574,2400,24.8,44.3,21.7,5.5,0,2.3,3,30,0,0.72,0.13,17.90,2.0,18.09,9.73,7.87,0.49,39,324,587,3.6,178,2.1,2.50,3.94,0.95,1.25,
坚果种子类-种子,072005,花生仁（炒）,Peanut kernel，roasted,100,1.8,589,2466,23.9,44.4,25.7,4.3,0,4.2,—,—,0,0.12,0.10,18.90,Tr,14.97,8.32,6.28,0.37,284,315,674,445.1,176,6.9,2.82,7.10,0.89,1.90,北京
坚果种子类-种子,072006,葵花子（生）,Sunflower seed，in shell,50,2.4,609,2548,23.9,49.9,19.1,6.1,0,4.7,3,30,0,0.36,0.20,4.80,Tr,34.53,31.47,2.93,0.13,72,238,562,5.5,264,5.7,6.03,1.21,2.51,1.95,甘肃
坚果种子类-种子,072007,葵花子（炒，咸）,Sunflower seed，in shell，roasted,52,2.0,625,2616,22.6,52.8,17.3,4.8,0,5.3,3,30,0,0.43,0.26,4.8,Tr,26.46,25.04,1.42,Tr,72,564,491,1322.0,267,6.1,5.91,2.00,1.95,1.98,
坚果种子类-种子,072008,葵花子仁,Sunflower seed kernel,100,7.8,615,2572,19.1,53.4,16.7,4.5,0,3.0,—,—,0,1.89,0.16,4.5,Tr,79.09,74.50,4.44,0.15,115,604,547,5.0,287,2.9,0.50,5.78,0.56,1.07,上海
坚果种子类-种子,072009,莲子（干）,Lotus seed，dried,100,9.5,350,1463,17.2,2.0,67.2,3.0,0,4.1,—,—,0,0.16,0.08,4.2,5.0,2.71,0.93,1.78,Tr,97,550,846,5.1,242,3.6,2.78,3.36,1.33,8.23,
坚果种子类-种子,072010,莲子（糖水罐头）,Lotus seed，in sugar syrup,100,49.2,202,845,2.8,0.5,46.9,0.7,0,0.6,—,—,0,0.04,0.09,1.5,Tr,—,—,—,—,24,133,27,8.7,9,Tr,Tr,2.43,0.03,—,武汉
坚果种子类-种子,072011,南瓜子（炒）［白瓜子］,Pumpkin seed，in shell，roasted,68,4.1,582,2436,36.0,46.1,7.9,4.1,0,5.9,—,—,0,0.08,0.16,3.3,—,27.28,1.10,9.75,16.43,37,,672,15.8,376,6.5,7.12,27.03,1.44,3.85,
坚果种子类-种子,072012,南瓜子仁,Pumpkin seed kernel,100,9.2,576,2408,33.2,48.1,4.9,4.9,0,4.6,—,—,0,0.23,0.09,1.8,Tr,13.25,3.67,9.58,Tr,16,1159,102,20.6,2,1.5,2.57,2.78,1.11,0.64,上海
坚果种子类-种子,072013,西瓜子（炒）,Watermelon seed，roasted，in shell,43,4.3,582,2434,32.7,44.8,14.2,4.5,0,4.0,—,—,0,0.04,0.08,3.4,Tr,1.23,1.23,Tr,Tr,28,765,612,187.7,448,8.2,6.76,23.44,1.82,1.82,
坚果种子类-种子,072014,西瓜子,Watermelon seed，processed，in shell，plum flavored,38,5.0,567,2372,30.3,46.5,13.4,13.2,0,4.8,—,—,0,0.03,0.05,3.2,—,2.71,1.11,1.11,0.49,392,868,516,133.7,18,4.4,5.88,6.20,1.91,1.45,青岛
坚果种子类-种子,072015,西瓜子仁,Watermelon seed，kernel,100,9.2,566,2369,32.4,45.9,8.6,5.4,0,3.9,—,—,0,0.20,0.08,1.4,Tr,27.37,2.23,25.14,Tr,Tr,818,186,9.4,1,4.7,0.39,11.00,0.04,1.21,上海
坚果种子类-种子,072016,芝麻子（白）,Sesame seed，white,100,5.3,536,2244,18.4,39.6,31.5,9.8,0,5.2,—,—,0,0.36,0.26,3.8,—,38.28,Tr,37.22,1.06,620,513,266,32.2,202,14.1,4.21,4.06,1.41,1.17,
坚果种子类-种子,072017,芝麻子（黑）,Sesame seed，black,100,5.7,559,2340,19.1,46.1,24.0,14.0,0,5.1,—,—,0,0.66,0.25,5.9,—,50.40,Tr,49.04,1.36,780,516,358,8.3,290,22.7,6.13,4.70,1.77,17.85,
坚果种子类-种子,072018,芡实米（鲜）［鸡头米］,Gorgon foxnut seeds，fresh,47,63.4,145,605,4.4,0.2,31.5,0.4,0,0.5,—,—,0,0.40,0.08,2.5,6.0,—,—,—,—,9,110,—,—,—,0.4,—,—,—,—,北京
坚果种子类-种子,072019,芡实米（干）［鸡头米］,Gorgon euryale seed,100,11.4,352,1475,8.3,0.3,79.6,0.9,0,0.4,—,—,0,0.30,0.09,0.4,—,—,—,—,—,37,56,60,28.4,16,0.5,1.24,6.03,0.63,1.51,
坚果种子类-种子,072020,花生（烤，勤俭牌）,Peanut，in shell，salted and roasted，QINJIAN,72,2.5,586,2429,26.4,46.3,21.2,10.4,0,3.6,4,47,0,0.25,0.08,12.1,—,13.88,7.00,6.12,0.76,79,376,541,79.4,200,2.1,3.61,2.19,1.23,1.56,四川
坚果种子类-种子,072021,花生（烤，密日兴牌）,Peanut，in shell，salted and roasted，MIRIXING,71,3.1,475,1987,16.6,22.3,55.9,7.9,0,2.1,43,518,0,0.20,0.08,10.0,—,8.05,—,—,—,23,299,344,171.1,51,2.6,2.61,5.44,0.34,—,北京
坚果种子类-种子,072022,花生仁（油炸）,Peanut，without shell，fried，salted,100,1.3,583,2411,22.2,47.1,26.2,17.2,0,3.2,—,—,0,0.30,0.08,—,—,8.70,—,—,—,20,474,551,207.8,84,1.6,3.16,—,0.56,—,北京
坚果种子类-种子,072023,葵花子（熟，奶油香）,Sunflower seed，in shell，salted and roasted，butter flavor,51,1.4,620,2560,22.7,54.1,17.9,14.6,0,3.9,—,—,0,0.54,0.12,2.5,—,21.79,17.56,2.85,1.38,77,925,423,604.3,412,6.7,7.62,12.49,2.53,2.57,甘肃
坚果种子类-种子,072024,葵花子（熟，原味）,Sunflower seed，in shell，salted and roasted,48,2.7,591,2445,28.5,49.0,15.1,8.2,0,4.7,4,52,0,0.94,0.12,2.1,—,11.70,8.90,1.61,1.19,112,1032,399,634.7,509,6.4,7.45,56.68,2.42,3.48,甘肃
坚果种子类-种子,072025,南瓜子（熟）［白瓜子］,Pumpkin seed，in shell，salted and roasted,69,3.2,615,2543,26.6,52.8,12.9,9.1,0,4.5,7,81,0,0.20,0.10,3.0,—,31.06,0.91,17.29,12.86,26,1034,610,145.1,424,9.1,7.77,2.42,1.32,4.38,甘肃
