category,foodCode,foodName,englishName,edible,water,energyKCal,energyKJ,protein,fat,CHO,dietaryFiber,cholesterol,ash,vitaminA,carotene,retinol,thiamin,riboflavin,niacin,vitaminC,vitaminETotal,vitaminE1,vitaminE2,vitaminE3,Ca,P,K,Na,Mg,Fe,Zn,Se,Cu,Mn,remark
蔬菜类及其制品-嫩茎叶花菜类,045406,黑笋（干）,"bamboo shoot, dried",76,14.4,268,1120,17.6,2.4,57.5,27.2,0,8.1,—,—,0,—,0.41,1.90,Tr,—,—,—,—,30,426,115,6.2,82,18.9,7.60,4.20,1.30,5.43,福建
蔬菜类及其制品-嫩茎叶花菜类,045407,毛笋（鲜）［毛竹笋］,baby bamboo shoot,67,93.1,23,97,2.2,0.2,3.8,1.3,0,0.7,—,—,0,0.04,0.05,0.30,9.0,0.15,0.15,Tr,Tr,16,34,318,5.2,8,0.9,0.47,0.38,0.07,0.35,
蔬菜类及其制品-嫩茎叶花菜类,045408,玉兰片,"Bamboo shoot, sliced, soaked in water",100,78.0,66,275,2.6,0.4,18.6,11.3,0,0.4,—,—,0,0.04,0.07,0.10,1.0,2.24,1.23,1.01,0,42,29,66,1.9,5,3.6,0.23,—,0.04,0.54,北京
蔬菜类及其制品-嫩茎叶花菜类,045409,百合（鲜）,Lily,82,56.7,166,692,3.2,0.1,38.8,1.7,0,1.2,—,—,0,0.02,0.04,0.70,18.0,—,—,—,—,11,61,510,6.7,43,1.0,0.50,0.20,0.24,0.35,兰州
蔬菜类及其制品-嫩茎叶花菜类,045411,百合（脱水）,"Lily, dehydrated",100,9.9,346,1449,8.1,0.1,79.1,1.7,0,2.8,—,—,0,0.05,0.02,1.10,7.0,—,—,—,—,29,72,492,69.8,43,5.0,1.25,3.08,1.70,0.55,兰州
蔬菜类及其制品-嫩茎叶花菜类,045412,金针菜（鲜）［黄花菜］,Daylily flower,98,40.3,214,897,19.4,1.4,34.9,7.7,0,4.0,153,1840,0,0.05,0.21,3.10,10.0,4.92,3.56,1.36,Tr,301,216,610,59.2,85,8.1,3.99,4.22,0.37,1.21,
蔬菜类及其制品-嫩茎叶花菜类,045413,菊苣,"Endive, Chicory",100,93.8,19,79,1.3,0.2,3.4,0.9,0,1.4,103,1230,0,0.08,0.08,0.40,7.0,—,—,—,—,52,28,314,22.0,15,0.8,0.79,—,0.10,0.42,USA
蔬菜类及其制品-嫩茎叶花菜类,045415,芦笋（绿）［石刁柏、龙须菜］,Asparagus stem，raw,90,93.3,19,79,2.6,0.1,3.3,—,0,0.7,2,20,0,0.07,0.08,1.12,7.0,0.19,0.10,0.09,Tr,9,51,304,12.4,18,1.4,0.55,0.62,0.10,0.12,
蔬菜类及其制品-嫩茎叶花菜类,045416,芦笋（紫）,Asparagus stem，purple，raw,93,93.1,22,92,2.7,0.2,3.4,1.3,0,0.6,23,273,0,0.10,0.13,0.95,8.3,0.54,0.32,0.22,Tr,13,49,26,9.2,14,0.4,0.42,0.07,0.12,0.12,北京
蔬菜类及其制品-嫩茎叶花菜类,045417,结球菊苣（红）,Radicchio Chicory，red，raw,89,93.8,17,72,1.8,0.2,3.4,—,0,0.8,9,104,0,0.04,0.04,0.23,2.0,0.20,Tr,0.20,Tr,78,53,365,24.9,20,0.8,0.39,0.33,0.10,0.25,北京
蔬菜类及其制品-嫩茎叶花菜类,045418,软化白菊苣,Chicory witloof，raw,97,94.7,17,70,1.5,0.2,3.1,—,0,0.5,1,14,0,0.04,0.02,0.07,1.0,0.14,Tr,0.14,Tr,11,53,216,33.6,20,0.2,0.24,0.21,0.06,0.14,北京
蔬菜类及其制品-嫩茎叶花菜类,045419,穿心莲,Andrographis paniculata，leaf,100,95.1,17,71,1.7,—,2.5,—,0,0.7,—,—,0,—,—,—,3.4,0.00,Tr,—,Tr,11,—,188,3.6,9,0.2,0.04,0.01,0.03,0.16,北京
蔬菜类及其制品-嫩茎叶花菜类,045420,红薯叶,Sweet potato leaves,100,90.8,27,112,3.1,Tr,5.1,2.80,0,1.0,113,1351,0,0.20,0.36,—,Tr,1.37,1.37,Tr,Tr,180,38,115,44.0,58,1.2,0.21,—,0.11,0.93,广东
蔬菜类及其制品-嫩茎叶花菜类,045421,南瓜藤,Pumpkin Tender leaves,100,93.3,17,73,1.7,0.0,3.2,—,0,1.8,35,425,0,Tr,0.04,—,13.5,0.59,0.39,—,0.01,14,53,303,1.8,16,1.1,0.35,—,0.08,0.15,浙江
蔬菜类及其制品-嫩茎叶花菜类,045422,三七尖,Sanqi Tender leaves,100,92.6,21,86,2.3,0.2,4.0,—,0,0.9,14,169,0,Tr,0.08,—,0.0,0.15,0.07,0.06,0.02,57,21,631,12.4,169,0.1,2.26,5.99,1.19,6.66,湖北
蔬菜类及其制品-嫩茎叶花菜类,045423,棠梨花,Tangli flower,100,85.6,58,244,3.5,0.8,9.1,—,0,1.0,—,—,0,Tr,0.32,—,Tr,—,—,—,—,65,49,42,300.0,—,2.2,0.55,—,—,—,云南
蔬菜类及其制品-嫩茎叶花菜类,045424,洋丝瓜苗,Towel gourd green shoots,81,92.2,29,123,4.4,0.3,2.2,—,0,0.9,—,—,0,0.04,0.23,—,4.6,—,—,—,—,77,72,224,25.0,—,3.1,0.44,—,—,—,云南
蔬菜类及其制品-根菜类,041101,白萝卜（鲜）［莱菔］,Radish，white skin and flesh，raw,95,94.6,16,67,0.7,0.1,4.0,—,0,0.6,Tr,Tr,0,0.02,0.01,0.14,19.0,Tr,Tr,Tr,Tr,47,16,167,54.3,12,0.2,0.14,0.12,0.01,0.05,
蔬菜类及其制品-根菜类,041102,卞萝卜［红皮萝卜］,Radish，red skin and white flesh，round，raw,96,94.2,18,74,0.8,0.1,4.2,1.1,0,0.7,Tr,Tr,0,0.01,0.02,0.22,5.6,Tr,Tr,Tr,Tr,39,27,16,111.2,24,0.3,0.23,0.27,0.02,0.04,
蔬菜类及其制品-根菜类,041103,红旦旦萝卜［樱桃萝卜，小水萝卜］,Radish，red skin,95,94.4,19,79,0.8,Tr,4.3,0.8,0,0.5,Tr,Tr,0,0.01,—,Tr,4.0,1.11,0.90,0.10,0.11,9,43,63,20.1,11,2.9,0.32,1.45,Tr,0.05,山东
蔬菜类及其制品-根菜类,041104,红萝卜［卞萝卜］,Red radish,97,93.8,22,91,1.0,0.1,4.6,0.8,0,0.5,Tr,Tr,0,0.05,0.02,0.10,3.0,1.20,1.10,Tr,0.10,11,26,110,62.7,16,2.8,0.69,Tr,Tr,0.06,青海
蔬菜类及其制品-根菜类,041105,红心萝卜［心里美］,Radish，red flesh,94,88.0,41,172,1.2,Tr,9.8,1.4,0,1.0,7,80,0,0.02,0.02,0.10,20.0,—,—,—,—,86,30,385,49.1,23,0.9,0.74,0.73,0.05,0.08,
蔬菜类及其制品-根菜类,041106,花叶萝卜,radish，Petal leaf,85,86.7,48,199,1.2,0.1,11.5,2.1,0,0.5,Tr,Tr,0,0.01,0.02,Tr,3.0,0.40,0.40,Tr,Tr,16,25,104,47.2,20,3.1,0.74,0.07,Tr,0.08,
蔬菜类及其制品-根菜类,041108,水萝卜［脆萝卜］,Radish，Chinese,93,92.9,22,94,0.8,Tr,5.5,1.4,0,0.8,21,250,0,0.03,0.05,—,45.0,—,—,—,—,—,—,—,9.7,—,—,0.49,—,0.01,0.05,
蔬菜类及其制品-根菜类,041109,小水萝卜［算盘子，红皮萝卜］,Radish，small，red skin,66,93.9,21,88,1.1,0.2,4.2,1.0,0,0.6,2,20,0,0.02,0.04,0.40,22.0,0.78,0.55,0.23,Tr,32,21,286,33.5,17,0.4,0.21,0.65,0.03,0.09,
蔬菜类及其制品-根菜类,041110,红心萝卜［心里美］,*Beautiful heart *radish，red flesh and green skin,88,93.5,23,96,0.8,0.2,4.9,0.8,0,0.6,1,10,0,0.02,0.04,0.40,23.0,—,—,—,—,68,24,116,85.4,34,0.5,0.17,1.02,0.06,0.08,
蔬菜类及其制品-根菜类,041112,白萝卜（圆）,Radish，white skin and flesh，round，raw,94,94.8,16,66,0.7,0.2,3.6,1.0,0,0.7,Tr,Tr,0,0.02,0.01,0.31,16.0,Tr,Tr,Tr,Tr,25,31,14,117.5,9,0.3,0.12,0.22,0.01,0.04,
蔬菜类及其制品-根菜类,041113,青萝卜,Radish，green skin and flesh，raw,95,91.0,29,121,1.2,0.2,6.9,—,0,0.7,7,88,0,0.01,0.02,0.62,7.0,Tr,Tr,Tr,Tr,47,31,248,56.0,15,0.3,0.16,0.10,0.02,0.06,
蔬菜类及其制品-根菜类,041115,樱桃萝卜,Cherry radish，raw,46,95.4,12,52,0.9,0.1,3.0,—,0,0.6,2,18,0,0.01,0.03,0.22,14.0,Tr,Tr,Tr,Tr,18,23,202,82.6,15,0.4,0.18,0.28,0.01,0.06,北京
蔬菜类及其制品-根菜类,041201,胡萝卜（红）［金笋，丁香萝卜］,Carrot，red,96,89.2,39,162,1.0,0.2,8.8,1.1,0,0.8,344,4130,0,0.04,0.03,0.60,13.0,0.41,0.36,0.05,Tr,32,27,190,71.4,14,1.0,0.23,0.63,0.08,0.24,
蔬菜类及其制品-根菜类,041202,胡萝卜（黄）,Carrot，yellow,97,87.4,46,191,1.4,0.2,10.2,1.3,0,0.8,344,4010,0,0.04,0.04,0.20,16.0,—,—,—,—,32,16,193,25.1,7,0.5,0.14,2.80,0.03,0.07,
蔬菜类及其制品-根菜类,041203,胡萝卜（脱水）,Carrot，dehydrated,100,10.9,333,1392,4.2,1.9,77.9,6.4,0,5.1,1438,17250,0,0.12,0.15,2.60,32.0,—,—,—,—,458,118,1117,300.7,82,8.5,1.85,4.06,0.81,0.75,兰州
蔬菜类及其制品-根菜类,041204,胡萝卜,Carrot，yellow，raw,97,90.0,32,133,1.0,0.2,8.1,—,0,0.7,342,4107,0,—,0.02,—,9.0,0.31,0.31,Tr,Tr,27,38,119,120.7,18,0.3,0.22,0.60,0.07,0.08,
蔬菜类及其制品-根菜类,041301,芥菜头［大头菜，水芥］,Horseradish,83,89.6,36,151,1.9,0.2,7.4,1.4,0,0.9,—,—,0,0.06,0.02,0.60,34.0,0.20,0.20,Tr,Tr,65,36,243,65.6,19,0.8,0.39,0.95,0.09,0.15,
蔬菜类及其制品-根菜类,041302,苤蓝［玉蔓菁，球茎甘蓝，大头菜］,Kohlrabi,78,90.8,32,136,1.3,0.2,7.0,1.3,0,0.7,2,20,0,0.04,0.02,0.50,41.0,0.13,0.10,0.03,Tr,25,46,190,29.8,24,0.3,0.17,0.16,0.02,0.11,
蔬菜类及其制品-根菜类,041401,甜菜根（鲜）［甜菜头，糖萝卜］,Beetroot,90,74.8,87,364,1.0,0.1,23.5,5.9,0,0.6,—,—,0,0.05,0.04,0.20,8.0,1.85,1.85,Tr,Tr,56,18,254,20.8,38,0.9,0.31,0.29,0.15,0.86,
蔬菜类及其制品-根菜类,041402,根芹［根洋芹、球根塘蒿］,Celeriac，raw,67,86.2,38,160,2.2,0.1,10.0,4.6,0,1.5,2,19,0,0.04,0.07,1.26,1.0,Tr,Tr,Tr,Tr,79,166,441,75.9,33,0.5,0.58,1.03,0.23,0.33,北京
蔬菜类及其制品-根菜类,041403,紫菜头,Garden beet，purple skin and flesh，raw,89,86.4,42,178,1.8,0.2,10.6,4.2,0,1.0,Tr,Tr,0,0.02,0.03,0.24,1.0,Tr,Tr,Tr,Tr,16,32,26,306.0,27,0.5,0.31,0.06,0.08,0.31,
蔬菜类及其制品-水生蔬菜类,046001,慈姑（鲜）［乌芋，白地果］,Arrowhead,89,73.6,97,406,4.6,0.2,19.9,1.4,0,1.7,—,—,0,0.14,0.07,1.60,4.0,2.16,2.16,Tr,Tr,14,157,707,39.1,24,2.2,0.99,0.92,0.22,0.39,
蔬菜类及其制品-水生蔬菜类,046002,豆瓣菜（鲜）［西洋菜，水田芥］,Watercress,73,94.5,20,82,2.9,0.5,1.5,1.2,0,0.6,796,9550,0,0.01,0.11,0.30,52.0,0.59,0.59,Tr,Tr,30,26,179,61.2,9,1.0,0.69,0.70,0.06,0.25,广东
蔬菜类及其制品-水生蔬菜类,046003,菱角（老，鲜）［龙角］,Water caltrop,57,73.0,101,423,4.5,0.1,21.4,1.7,0,1.0,1,10,0,0.19,0.06,1.50,13.0,—,—,—,—,7,93,437,5.8,49,0.6,0.62,—,0.18,0.38,江苏
蔬菜类及其制品-水生蔬菜类,046005,蒲菜（鲜）［香蒲，甘蒲，野茭白］,Cattail,12,95.0,14,56,1.2,0.1,2.4,0.9,0,1.3,1,10,0,0.03,0.04,0.50,6.0,—,—,—,—,53,24,—,—,—,0.2,—,—,—,—,北京
蔬菜类及其制品-水生蔬菜类,046006,水芹菜,Water celery,60,96.2,13,54,1.4,0.2,1.8,0.9,0,0.4,63,380,0,0.01,0.19,1.00,5.0,0.32,0.10,0.22,Tr,38,32,212,40.9,16,6.9,0.38,0.81,0.10,0.79,上海
蔬菜类及其制品-水生蔬菜类,046007,茭白（鲜）［茭笋，茭粑］,Water bamboo,74,92.2,26,110,1.2,0.2,5.9,1.9,0,0.5,5,30,0,0.02,0.03,0.50,5.0,0.99,0.99,Tr,Tr,4,36,209,5.8,8,0.4,0.33,0.45,0.06,0.49,
蔬菜类及其制品-水生蔬菜类,046008,荸荠（鲜）［马蹄，地栗］,Water chestnut,78,83.6,61,256,1.2,0.2,14.2,1.1,0,0.8,3,20,0,0.02,0.02,0.70,7.0,0.65,0.15,0.28,0.22,4,44,306,15.7,12,0.6,0.34,0.70,0.07,0.11,
蔬菜类及其制品-水生蔬菜类,046009,莼菜（瓶装）［花案菜］,"Walershie, bottled",100,94.5,21,87,1.4,0.1,3.8,0.5,0,0.2,55,330,0,—,0.01,0.10,Tr,0.90,0.84,0.06,Tr,42,17,2,7.9,3,2.4,0.67,0.67,0.04,0.26,杭州
